CC,inner_fold_idx
8708007,1
8709001,1
8709007,1
8709010,1
8709029,1
8709032,1
8709054,1
8709017,1
9901001,1
9901003,1
10101001,1
12701012,1
13402003,1
13402020,1
14501050,1
14501008,1
14501014,1
14501018,1
14501006,1
14501007,1
14501034,1
14901004,1
14901006,1
16501003,1
16501001,1
17501010,1
19301011,1
19301007,1
19301021,1
19301002,1
90501028,1
90501041,1
90501034,1
90501014,1
90501017,1
91101002,1
301022,2
301009,2
301032,2
1101005,2
1101009,2
1101011,2
1401002,2
1401004,2
1401009,2
1401010,2
2101003,2
2201001,2
2201011,2
2201016,2
2201012,2
2201022,2
2202020,2
4701004,2
4701011,2
4701018,2
6201009,2
6201004,2
6201007,2
8401016,2
8401012,2
8401013,2
8702011,2
8702010,2
8702035,2
8702037,2
8702043,2
8702024,2
8703108,2
8703107,2
8703005,2
8703007,2
8703011,2
8703012,2
8703103,2
8703017,2
8703021,2
8703030,2
8703039,2
8703066,2
8703067,2
8703072,2
8703076,2
8703050,2
8703055,2
8703036,2
8706006,2
8706012,2
8706021,2
8706020,2
8706026,2
8706034,2
8706014,2
8707006,2
8707018,2
8707008,2
8707022,2
8708012,2
8709033,2
8709037,2
8709018,2
8709020,2
8709023,2
8709057,2
8709046,2
9901004,2
10101011,2
10101002,2
10101005,2
10101006,2
10101007,2
11101001,2
11101002,2
12701008,2
12701003,2
13402022,2
13402026,2
14501051,2
14501009,2
14501042,2
14501020,2
14501025,2
14501033,2
14501035,2
14901005,2
17501011,2
19301009,2
19301010,2
19301022,2
90501010,2
90501035,2
90501013,2
90501020,2
90501022,2
90501001,2
90501007,2
90501008,2
90501009,2
91101003,2
301016,3
301017,3
301020,3
301011,3
301028,3
1101006,3
2101004,3
3601001,3
3601006,3
3601007,3
4701013,3
4701010,3
4801002,3
6201008,3
6201002,3
6201003,3
8401017,3
14501003,3
8701001,3
8702055,3
8702056,3
8702006,3
8702009,3
8702036,3
8702039,3
8702042,3
8702044,3
8702020,3
8702021,3
8702023,3
8703001,3
8703006,3
8703008,3
8703009,3
8703023,3
8703099,3
8703019,3
8703002,3
8703041,3
8703045,3
8703080,3
8703093,3
8703029,3
8703088,3
8703071,3
8703077,3
8703053,3
8703003,3
8706002,3
8706001,3
8706010,3
8706028,3
8706018,3
8706013,3
8706022,3
8707014,3
8707007,3
8707019,3
8707023,3
8709026,3
8709027,3
8709030,3
8709062,3
8709047,3
10101003,3
11101004,3
12701006,3
12701002,3
12701011,3
12702004,3
13402004,3
13402006,3
14501017,3
14501030,3
14501032,3
14501011,3
14501013,3
14501043,3
14501044,3
14501019,3
14501026,3
15301004,3
15701001,3
16501002,3
17501003,3
19301015,3
19301026,3
19301006,3
90501018,3
90501025,3
90501002,3
90501003,3
90501030,3
90501037,3
90501040,3
90501043,3
90501046,3
90501029,3
90501036,3
90501023,3
90501024,3
91101006,3
301018,4
301019,4
14501004,4
2101001,4
1101014,4
1101008,4
1401013,4
1401007,4
2101009,4
2101005,4
2101006,4
2101012,4
2101013,4
4701002,4
4701017,4
4801001,4
6201001,4
8401014,4
8401018,4
8401005,4
8401011,4
8701002,4
8701003,4
8702029,4
8702051,4
8702015,4
8702016,4
8702019,4
8702032,4
8702038,4
8703112,4
8703113,4
8703096,4
8703031,4
8703084,4
8703091,4
8703086,4
8703057,4
8703060,4
8703061,4
8703062,4
8703075,4
8703048,4
8703054,4
8706004,4
8706011,4
8706040,4
8706031,4
8706035,4
8706036,4
8706017,4
8706023,4
8706024,4
8707017,4
8707015,4
8707009,4
8707011,4
8708009,4
8709004,4
8709028,4
8709040,4
8709019,4
8709021,4
8709059,4
8709060,4
8709061,4
8709053,4
10101008,4
10101009,4
10101010,4
10501001,4
12601001,4
12701009,4
12701010,4
12701013,4
12702005,4
13402001,4
13402014,4
13402015,4
13402021,4
13402012,4
14401001,4
14501049,4
14501028,4
14501039,4
14501047,4
14501048,4
14501021,4
14501022,4
14501016,4
14901002,4
15301003,4
15801001,4
17501005,4
17501006,4
17501002,4
19301001,4
19301016,4
19301017,4
90501026,4
90501039,4
90501006,4
